ID	Tweet	Affect Dimension	Intensity Score
2017-En-30153	@liamch88 yeah! :) Jugando bien	valence	0.600
2017-En-40929	Al menos no tengo un tipo intentando desalentarprpers anymore en qué I quiere  nunca devenga cualquier cosa el valor que contribuye a sociedad	valence	0.484
2017-En-22012	UPLIFT: Si eres todavía desalentado  significa  estás escuchando a las voces incorrectas &amp; mirando a la fuente incorrecta. Mirada al SEÑOR!	valence	0.563
2017-En-30837	...En vuestra edad, el heyday en la sangre es mansa...' @TheArtofCharm #shakespeareaninsults #Villorio #elizabethan #williamshakespeare	valence	0.450
2017-En-30838	i era tan avergonzado cuándo  nos vi i era como knvfkkjg piensa que somos acosadores n entonces  empieza agitar todo alegremente invitándonos en 😩	valence	0.233
2017-En-41019	Realmente previsto encima haciendo vídeos esta semana. Entonces. Un tv murió, el teléfono rompió, el camión murió, #la depresión tomó encima.  Estoy preguntándome qué yo  2 karma	valence	0.214
2017-En-20210	 odio habiendo ideas pero siendo demasiado temerosos de compartirles 😔	valence	0.138
2017-En-30568	En el regulares cheerfulness de cualquier emoción, su cena propia, y para dar las señoras eran pronto cuando  han sido enteramente en	valence	0.648
2017-En-41186	Un pessimist ve la dificultad en cada oportunidad, un optimista ve la oportunidad en cada dificultad' -Señor Winston Churchill-	valence	0.641
2017-En-41215	Justo porque  estoy haciendo daño \nDoesn't significa  estoy hecho daño \nDoesn't significa no conseguí \nWhat  merecí \nNo mejor y no peor #perdido  @coldplay	valence	0.242
2017-En-10358	@coltonflurry @StrangeFacesLA  cancelé por CBS todos acceden vivos alimenta antes de JC incluso dicho Vic ganó AFP. Paul.Tendría que haber ganado IMO #amargo	valence	0.250
2017-En-30926	Para qué un día bonito.	valence	0.672
2017-En-31186	 Hemos sido un segundo equipo medio mejor esta estación. Tan hay aquello.	valence	0.550
2017-En-40689	Atrás a obra de bosque -\nfrom mi #música #de Bosque - series, 2016\n#naturaleza #fotografía #de arte #oscuro #Finlandia	valence	0.500
2017-En-41406	@rclemmons mucha #tristeza y #heartbreak	valence	0.167
2017-En-21080	 he aprendido sobre los años que cuando uno es mente está hecho, esto disminuye miedo. –Rosa Parques #cita #Paseo	valence	0.565
2017-En-20939	de motivación completamente les! Ve la manera pasada les, y  no incluso duda correr les encima.	valence	0.536
2017-En-31477	@crazace76 mira fresco y animado bien para arte de píxel !	valence	0.750
2017-En-40928	Encima 70% de social compartiendo es oscuro &amp; encima 50% de tráfico de web proviene #darksocial. @colinzalewski #LIFTSocial	valence	0.703
